timestamp,category,bug_type,exception,message,file,line,status,exit_code,timed_out,elapsed_sec,command,reason,input_hash,input_text,input_b64,crash_json,crash_bin
1775676245,parse_or_functional_bug_u1_3c4bcfdb31befcbeb5c3a2006af0a49c,invalidity,ParseException,IPv4 tokenization failure,pyparsing\core.py,1340,hang,-1,True,5.397851,./win-ipv6-parser.exe --ipstr 214.253.210.207,bug:invalidity,3c4bcfdb31befcbeb5c3a2006af0a49c,214.253.210.207,MjE0LjI1My4yMTAuMjA3,crashes/parse_or_functional_bug_u1_3c4bcfdb31befcbeb5c3a2006af0a49c.json,crashes/parse_or_functional_bug_u1_3c4bcfdb31befcbeb5c3a2006af0a49c.bin
1775677477,parse_or_functional_bug_u2_4ef6e325c391af3360bf6311871d690c,invalidity,InvalidityBug,Malformed IPv4 structure,buggy_ipyparse\ipv6_mstv.py,93,hang,-1,True,5.867211,./win-ipv6-parser.exe --ipstr 12345::1,bug:invalidity,4ef6e325c391af3360bf6311871d690c,12345::1,MTIzNDU6OjE=,crashes/parse_or_functional_bug_u2_4ef6e325c391af3360bf6311871d690c.json,crashes/parse_or_functional_bug_u2_4ef6e325c391af3360bf6311871d690c.bin
1775677946,other_output_u3_dcdad533c74eee980c43840dacc68e82,other,buggy_ipyparse.ipv6_mstv.ReliabilityBug,Incorrect token length.,buggy_ipyparse\ipv6_mstv.py,126,hang,-1,True,6.212265,./win-ipv6-parser.exe --ipstr 2001:::1,bug:bonus,dcdad533c74eee980c43840dacc68e82,2001:::1,MjAwMTo6OjE=,crashes/other_output_u3_dcdad533c74eee980c43840dacc68e82.json,crashes/other_output_u3_dcdad533c74eee980c43840dacc68e82.bin
1775681853,parse_or_functional_bug_u4_3106fb3b0efb9d5aa7f5aa26765e1859,invalidity,InvalidityBug,Malformed IPv4 structure,buggy_ipyparse\ipv6_mstv.py,132,hang,-1,True,5.653695,./win-ipv6-parser.exe --ipstr ffff:fff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,bug:invalidity,3106fb3b0efb9d5aa7f5aa26765e1859,ffff:�fff:ffff:ffff:ffff:ffff:ffff:ffff:ffff,ZmZmZjqIZmZmOmZmZmY6ZmZmZjpmZmZmOmZmZmY6ZmZmZjpmZmZmOmZmZmY=,crashes/parse_or_functional_bug_u4_3106fb3b0efb9d5aa7f5aa26765e1859.json,crashes/parse_or_functional_bug_u4_3106fb3b0efb9d5aa7f5aa26765e1859.bin
