timestamp,category,bug_type,exception,message,file,line,status,exit_code,timed_out,elapsed_sec,command,reason,input_hash,input_text,input_b64,crash_json,crash_bin
1775693153,,validity,ParseException,"Expected '.', found '5'  (at char 6), (line:1, col:7)",pyparsing/core.py,1340,success,0,False,0.975545,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 128.255.254.63,bug:validity,9f8588795d97908eb6f0551ce7c0cd65,128.255.254.63,MTI4LjI1NS4yNTQuNjM=,,
1775693184,,functional,FunctionalBug,Invalid IPv4 calculation,buggy_ipyparse/ipv4_stv.py,134,success,0,False,0.903600,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 63.63.193.0,bug:functional,f62a4ac88a57e57131bcda4345c1e438,63.63.193.0,NjMuNjMuMTkzLjA=,,
1775693198,,validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,success,0,False,0.949159,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 255.255.255.255,bug:validity,eea88cd0d9a7ba26282fc786713bbbb6,255.255.255.255,MjU1LjI1NS4yNTUuMjU1,,
1775693293,,validity,ParseException,"Expected '.', found '55'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,success,0,False,0.944611,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 20255.255.255.2550.198.228.207,bug:validity,907ae452327f372ad94059ed54e9b993,20255.255.255.2550.198.228.207,MjAyNTUuMjU1LjI1NS4yNTUwLjE5OC4yMjguMjA3,,
1775693294,,invalidity,ParseException,IPv4 tokenization failure,pyparsing/core.py,1340,success,0,False,1.001185,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 448.34.28.41,bug:invalidity,88eb6e613dc425e1716d6c3f8cab47dd,448.34.28.41,NDQ4LjM0LjI4LjQx,,
1775693297,,invalidity,InvalidityBug,Malformed IPv4 structure,buggy_ipyparse/ipv4_stv.py,80,success,0,False,2.485212,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 45.26.34.{9,bug:invalidity,2ff4639c324781fc6054bf458795b2a6,45.26.34.{9,NDUuMjYuMzQuezk=,,
1775693302,,validity,ParseException,"Expected '.', found '/'  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,success,0,False,0.979941,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 20//255.255.255.2550.198.228.207,bug:validity,3a2c36b8af870edfc226e17498ff740d,20//255.255.255.2550.198.228.207,MjAvLzI1NS4yNTUuMjU1LjI1NTAuMTk4LjIyOC4yMDc=,,
1775693421,,validity,ParseException,"Expected '.', found '5'  (at char 7), (line:1, col:8)",pyparsing/core.py,1340,success,0,False,0.952698,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 155.1255.255.255.25544188.159,bug:validity,3396b006eb1c40062490b56098c4b9b6,155.1255.255.255.25544188.159,MTU1LjEyNTUuMjU1LjI1NS4yNTU0NBMxODguMTU5,,
1775693437,,validity,ParseException,"Expected '.', found '1255'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,success,0,False,0.938511,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 1551255.255.255.25544188.159,bug:validity,20cedda93d5658a45ef0b26b7114e758,155�1255.255.255.25544188.159,MTU1gDEyNTUuMjU1LjI1NS4yNTU0NBMxODguMTU5,,
1775693442,,validity,ParseException,"Expected '.', found '$'  (at char 1), (line:1, col:2)",pyparsing/core.py,1340,success,0,False,0.957410,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 6$.73.10.155.255.255 .198.228.207,bug:validity,e14304cda5eeeb4e9e5c80b72a223b8f,6$.73.10.155.255.255 .198.228.207,NiQuNzMuMTAuMTU1LjI1NS4yNTUgLjE5OC4yMjguMjA3,,
1775693592,,validity,ParseException,"Expected '.', found '_'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,success,0,False,0.955103,../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 168___.255.254.63,bug:validity,be4f83db31588de16ae80044842e7171,168___.255.254.63,MTY4X19fLjI1NS4yNTQuNjM=,,
1775693597,,validity,ParseException,"Expected '.', found '95'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,success,0,False,0.935848,"../IPv4-IPv6-parser/bin/linux-ipv4-parser --ipstr 20295.255.255.25,,50.198.228.207",bug:validity,b1adb58d24eae0bc5e9209da5f8e54d1,"20295.255.255.25,,50.198.228.207",MjAyOTUuMjU1LjI1NS4yNSwsNTAuMTk4LjIyOC4yMDc=,,
